Date,NAV (CAD),Market price (CAD)
Jan 25 2024,$117.0060,$116.9900
Jan 24 2024,$116.8090,$116.8100
Jan 23 2024,$116.2249,$116.2000
Jan 22 2024,$115.9797,$116.0500
Jan 19 2024,$115.2961,$115.2800
Jan 18 2024,$114.4196,$114.4400
Jan 17 2024,$113.5752,$113.5800
Jan 16 2024,$114.0717,$114.1100
Jan 15 2024,$113.9143,$114.2800
Jan 12 2024,$113.7155,$113.7400
Jan 11 2024,$113.5621,$113.5600
Jan 10 2024,$113.4741,$113.4700
Jan 09 2024,$112.8824,$113.0000
Jan 08 2024,$112.7776,$112.8000
Jan 05 2024,$111.2879,$111.2900
Jan 04 2024,$111.0293,$111.0400
Jan 03 2024,$111.4353,$111.4100
Jan 02 2024,$112.0330,$112.1100
Dec 29 2023,$112.0726,$112.1200
Dec 28 2023,$112.1866,$112.2000
Dec 27 2023,$112.3651,$112.4000
Dec 22 2023,$112.1319,$112.1100
Dec 21 2023,$112.0577,$112.1500
Dec 20 2023,$111.7128,$111.6600
Dec 19 2023,$113.1331,$113.1000
Dec 18 2023,$112.9677,$112.9800
Dec 15 2023,$112.1903,$112.2400
Dec 14 2023,$112.5755,$112.5700
Dec 13 2023,$113.0331,$112.9400
Dec 12 2023,$112.2914,$112.2600
Dec 11 2023,$111.5637,$111.6000
Dec 08 2023,$111.2520,$111.2500
Dec 07 2023,$110.8588,$110.8400
Dec 06 2023,$109.9498,$109.9900
Dec 05 2023,$110.4185,$110.4000
Dec 04 2023,$110.0466,$110.0200
Dec 01 2023,$110.2231,$110.2100
Nov 30 2023,$110.1854,$110.2200
Nov 29 2023,$109.9541,$109.9200
Nov 28 2023,$109.8716,$109.8700
Nov 27 2023,$110.0929,$110.1300
Nov 24 2023,$110.4478,$110.6600
Nov 23 2023,$110.8730,$111.2500
Nov 22 2023,$110.8569,$110.8900
Nov 21 2023,$110.4203,$110.4800
Nov 20 2023,$110.9277,$110.9300
Nov 17 2023,$110.0190,$109.9900
Nov 16 2023,$110.2417,$110.2400
Nov 15 2023,$109.4475,$109.4700
Nov 14 2023,$109.2891,$109.3300
Nov 13 2023,$108.0791,$108.0900
Nov 10 2023,$108.1577,$108.1200
Nov 09 2023,$106.5737,$106.5600
Nov 08 2023,$107.2943,$107.3600
Nov 07 2023,$106.9655,$106.9700
Nov 06 2023,$106.1339,$106.1500
Nov 03 2023,$105.7175,$105.7100
Nov 02 2023,$105.2932,$105.2800
Nov 01 2023,$104.2513,$104.2500
Oct 31 2023,$103.1496,$103.1900
Oct 30 2023,$102.2044,$102.1600
Oct 27 2023,$101.3369,$101.3400
Oct 26 2023,$101.4947,$101.4900
Oct 25 2023,$102.4799,$102.4500
Oct 24 2023,$103.4713,$103.4700
Oct 23 2023,$102.4341,$102.4200
Oct 20 2023,$102.7384,$102.7500
Oct 19 2023,$104.0756,$104.1200
Oct 18 2023,$104.9347,$104.9000
Oct 17 2023,$105.8303,$105.7900
Oct 16 2023,$105.5913,$105.5800
Oct 13 2023,$104.8396,$104.8500
Oct 12 2023,$105.6496,$105.6300
Oct 11 2023,$105.5514,$105.5400
Oct 10 2023,$104.9830,$104.9900
Oct 06 2023,$104.3873,$104.4000
Oct 05 2023,$103.4821,$103.5300
Oct 04 2023,$103.8418,$103.9300
Oct 03 2023,$102.8287,$102.8200
Oct 02 2023,$103.9336,$103.9200
Sep 29 2023,$103.2806,$103.2600
Sep 28 2023,$102.8459,$102.8000
Sep 27 2023,$102.7503,$102.6500
Sep 26 2023,$102.7802,$102.8100
Sep 25 2023,$103.8635,$103.8800
